name,Station ID,Area ID,Lat,Lon,total_slots,free_slots,avl_bikes,operative,style
0001 10th & Cambie,1,MP,49.262487,-123.114397,52,10,42,TRUE,#N/A
0002 Burrard Station,2,CBD,49.285871,-123.12105,28,16,12,TRUE,#N/A
0004 Yaletown-Roundhouse Station,4,CBD,49.274566,-123.121817,16,4,12,TRUE,#N/A
0005 Dunsmuir & Beatty,5,CBD,49.279764,-123.110154,26,20,5,TRUE,#N/A
0006 Olympic Village Station,6,FAIR,49.2666753,-123.1156348,26,8,18,TRUE,#N/A
0007 12th & Yukon,7,FAIR,49.260599,-123.113504,16,10,6,TRUE,#N/A
0008 8th & Ash,8,FAIR,49.264215,-123.117772,16,0,16,TRUE,#N/A
0009 Spyglass & Seawall,9,FAIR,49.270877,-123.115103,14,7,7,TRUE,#N/A
0010 Stamp's Landing,10,FAIR,49.26893,-123.11813,14,3,11,TRUE,#N/A
0011 Ontario & Seawall,11,MP,49.271721,-123.104207,20,11,9,TRUE,#N/A
0012 Dunsmuir & Richards,12,CBD,49.282214,-123.114101,24,3,20,TRUE,#N/A
0014 Canada Place,14,CBD,49.287214,-123.11287,26,1,24,TRUE,#N/A
0015 Granville & Georgia,15,CBD,49.282409,-123.118541,20,13,7,TRUE,#N/A
0016 Pender & Burrard,16,CBD,49.287097,-123.118551,26,1,25,TRUE,#N/A
0017 Marinaside & Davie,17,CBD,49.273471,-123.118016,22,17,5,TRUE,#N/A
0019 Robson & Hornby,19,CBD,49.282758,-123.122092,30,7,23,TRUE,#N/A
0021 Cordova & Granville,21,CBD,49.286042,-123.113176,22,19,3,TRUE,#N/A
0024 Hornby & Pender,24,CBD,49.28602,-123.116624,22,7,15,TRUE,#N/A
0025 Homer & Robson,25,CBD,49.279739,-123.116251,20,11,9,TRUE,#N/A
0026 Beatty & Robson,26,CBD,49.277483,-123.114279,20,1,19,TRUE,#N/A
0027 Beatty & Nelson,27,CBD,49.275679,-123.116963,14,6,8,TRUE,#N/A
0028 Davie & Beach,28,WE,49.287528,-123.142139,30,15,15,TRUE,#N/A
0030 Abbott & Cordova,30,CBD,49.282759,-123.106955,14,7,7,TRUE,#N/A
0031 Morton & Denman,31,WE,49.28803,-123.142135,26,11,15,TRUE,#N/A
0032 Comox & Denman,32,WE,49.288444,-123.139203,18,15,3,TRUE,#N/A
0033 Robson & Denman,33,WE, ,-123.13526,24,15,9,TRUE,#N/A
0034 Cordova & Bute,34,CBD,49.289124,-123.12196,14,8,6,TRUE,#N/A
0035 Coal Harbour Community Centre,35,CBD,49.290419,-123.12581,28,12,16,TRUE,#N/A
0036 Bute & Robson,36,WE,49.285836,-123.127265,26,10,16,TRUE,#N/A
0037 Hornby & Nelson,37,CBD,49.28062,-123.12482,18,9,9,TRUE,#N/A
0039 Helmcken & Burrard,39,CBD,49.279938,-123.127478,15,10,5,TRUE,#N/A
0040 Cardero & Pendrell,40,WE,49.285876,-123.137728,14,9,5,TRUE,#N/A
0041 Cardero & Robson,41,WE,49.289581,-123.132184,14,12,2,TRUE,#N/A
0044 Pacific & Richards,44,CBD,49.273663,-123.127075,14,9,5,TRUE,#N/A
0047 Chilco & Beach,47,WE,49.28972,-123.144028,14,11,2,TRUE,#N/A
0048 Comox & Broughton,48,WE,49.285253,-123.134356,12,12,0,TRUE,#N/A
0050 Bute & Comox,50,WE,49.283343,-123.131099,22,8,14,TRUE,#N/A
0052 Cambie & Water,52,CBD,49.284605,-123.108662,32,5,27,TRUE,#N/A
0053 Keefer & Abbott,53,CBD,49.279821,-123.10802,28,25,3,TRUE,#N/A
0054 Expo & Carrall,54,CBD,49.278004,-123.105664,16,7,8,TRUE,#N/A
0055 Keefer & Columbia,55,CBD,49.279342,-123.101822,14,3,11,TRUE,#N/A
0057 Marinaside & Cooperage,57,CBD,49.273833,-123.114373,26,8,18,TRUE,#N/A
0058 Homer & Smithe,58,CBD,49.278283,-123.118612,18,18,0,TRUE,#N/A
0060 Bidwell & Burnaby,60,WE,49.28526,-123.141809,26,21,5,TRUE,#N/A
0063 Robson & Granville,63,CBD,49.281506,-123.120101,32,11,21,TRUE,#N/A
0064 Expo & Smithe,64,CBD,49.276115,-123.114496,14,3,11,TRUE,#N/A
0065 Cypress & Cornwall,65,KITS,49.272827,-123.147744,22,18,4,TRUE,#N/A
0066 Anderson & 2nd,66,FAIR,49.269361,-123.13782,28,4,24,TRUE,#N/A
0068 Cypress & Broadway,68,KITS,49.263507,-123.148097,14,11,3,TRUE,#N/A
0069 7th & Granville,69,FAIR,49.2653,-123.13811,14,10,4,TRUE,#N/A
0070 10th & Granville,70,FAIR,49.262598,-123.138921,14,9,4,TRUE,#N/A
0071 14th & Granville,71,FAIR,49.25894,-123.139272,14,12,2,TRUE,#N/A
0072 14th & Cambie,72,MP,49.258763,-123.115392,14,8,6,TRUE,#N/A
0073 Ontario & 5th,73,MP,49.266724,-123.104824,18,1,17,TRUE,#N/A
0074 10th & Main,74,MP,49.262141,-123.101961,18,8,10,TRUE,#N/A
0076 Cypress & 4th,76,KITS,49.268269,-123.147885,18,11,6,TRUE,#N/A
0077 Vanier Park,77,KITS,49.275717,-123.142564,28,16,12,TRUE,#N/A
0078 Nelson & Mainland,78,CBD,49.276436,-123.11877,20,8,11,TRUE,#N/A
0079 Nelson & Richards,79,CBD,49.277844,-123.120942,18,16,2,TRUE,#N/A
0080 Laurel & Broadway,80,FAIR,49.263088,-123.12415,14,1,13,TRUE,#N/A
0081 7th & Heather,81,FAIR,49.265089,-123.119425,18,13,5,TRUE,#N/A
0082 Richards & Davie,82,CBD,49.276153,-123.123889,14,4,9,TRUE,#N/A
0083 Aquatic Centre,83,WE,49.27821,-123.136972,35,17,18,TRUE,#N/A
0084 Sunset Beach West,84,WE,49.281405,-123.139901,16,12,4,TRUE,#N/A
0087 Broughton & Burnaby,87,WE,49.28329,-123.137034,16,15,1,TRUE,#N/A
0088 Harwood & Bute,88,WE,49.28026,-123.135244,20,5,14,TRUE,#N/A
0089 Burrard & Drake,89,WE,49.27808,-123.130557,24,24,0,TRUE,#N/A
0092 Chilco & Barclay,92,WE,49.291909,-123.140713,18,18,0,TRUE,#N/A
0093 Chilco & Robson,93,WE,49.293257,-123.138563,18,10,8,TRUE,#N/A
0096 Nicola & Robson,96,WE,49.288011,-123.132006,18,15,3,TRUE,#N/A
0098 Carrall & Hastings,98,CBD,49.28117,-123.104419,18,2,16,TRUE,#N/A
0099 Vancouver Art Gallery - North Plaza,99,CBD,49.283227,-123.120523,28,1,27,TRUE,#N/A
0101 Stanley Park - Vancouver Aquarium,101,STA,49.299292,-123.130281,16,3,13,TRUE,#N/A
0102 Stanley Park - Second Beach North,102,STA,49.29534,-123.150433,16,12,4,TRUE,#N/A
0103 Stanley Park - Third Beach Parking Lot,103,STA,49.302577,-123.155616,28,23,5,TRUE,#N/A
0104 Stanley Park - Second Beach South,104,STA,49.294318,-123.148808,18,3,15,TRUE,#N/A
0105 Stanley Park - Totem Poles,105,STA,49.298657,-123.121176,20,14,6,TRUE,#N/A
0106 Heather & 14th,106,FAIR,49.259183,-123.120126,16,11,5,TRUE,#N/A
0107 8th & Ontario,107,MP,49.263837,-123.105173,15,12,3,TRUE,#N/A
0108 1st & Chestnut,108,KITS,49.270721,-123.146175,16,8,8,TRUE,#N/A
0109 7th & Arbutus,109,KITS,49.265605,-123.152566,16,14,1,TRUE,#N/A
0110 5th & Arbutus,110,KITS,49.267222,-123.153157,16,11,4,TRUE,#N/A
0112 10th & Oak,112,FAIR,49.262255,-123.126217,30,20,9,TRUE,#N/A
0113 Arbutus & 16th,113,KITS,49.257654,-123.153212,40,24,16,TRUE,#N/A
0114 Cypress & 14th,114,KITS,49.25919,-123.148268,12,5,7,TRUE,#N/A
0115 Cypress & 16th,115,KITS,49.25741,-123.148531,12,5,7,TRUE,#N/A
0119 3rd & Quebec,119,MP,49.268298,-123.102539,14,10,4,TRUE,#N/A
0123 Georgia & Thurlow,123,WE,49.285953,-123.124066,12,7,5,TRUE,#N/A
0125 Hamilton & Robson,125,CBD,49.279611,-123.115056,18,15,3,TRUE,#N/A
0126 Thurlow & Pendrell,126,WE,49.280881,-123.130672,16,8,7,TRUE,#N/A
0129 Richards & Robson,129,CBD,49.280345,-123.117633,24,13,11,TRUE,#N/A
0130 Heather & 16th,130,SC,49.256845,-123.120071,12,7,5,TRUE,#N/A
0132 14th & Ontario,132,MP,49.25849,-123.104799,16,15,1,TRUE,#N/A
0133 Ontario & 16th,133,RP,49.256825,-123.105234,14,13,1,TRUE,#N/A
0134 14th & Main,134,MP,49.258425,-123.100792,14,9,5,TRUE,#N/A
0136 David Lam Park - West,136,CBD,49.270905,-123.126006,18,3,15,TRUE,#N/A
0137 Beach & Seymour,137,CBD,49.273568,-123.129935,18,15,3,TRUE,#N/A
0138 Richards & Helmcken,138,CBD,49.277141,-123.122589,18,12,5,TRUE,#N/A
0139 Burrard & 4th,139,FAIR,49.267859,-123.145782,16,0,16,TRUE,#N/A
0140 Burrard & 7th,140,KITS,49.265336,-123.145823,16,4,12,TRUE,#N/A
0143 South False Creek Seawall,143,FAIR,49.267628,-123.127698,14,1,12,TRUE,#N/A
0147 Chestnut & McNicoll,147,KITS,49.275938,-123.145939,16,7,9,TRUE,#N/A
0148 Creekside Park North,148,CBD,49.2756,-123.102661,18,12,6,TRUE,#N/A
0150 Alexander & Main,150,CBD,49.284157,-123.099917,20,5,15,TRUE,#N/A
0152 Arbutus Greenway & 14th,152,KITS,49.258924,-123.152591,20,12,8,TRUE,#N/A
0153 Arbutus Greenway & Fir,153,FAIR,49.266774,-123.141135,16,11,5,TRUE,#N/A
0154 Kitsilano Beach Park,154,KITS,49.273355,-123.154493,36,23,13,TRUE,#N/A
0155 Arbutus & McNicoll,155,KITS,49.276144,-123.151272,30,20,10,TRUE,#N/A
0159 Vine & 4th,159,KITS,49.268339,-123.157443,18,18,0,TRUE,#N/A
0161 Alexander & Dunlevy,161,STR,49.284062,-123.095097,14,9,5,TRUE,#N/A
0165 Columbia & 4th,165,MP,49.26712,-123.10937,18,4,14,TRUE,#N/A
0166 Alder & 11th,166,FAIR,49.261742,-123.13148,14,14,0,TRUE,#N/A
0167 Cordova & Columbia,167,CBD,49.282266,-123.102165,14,8,6,TRUE,#N/A
0171 5th & Yukon,171,MP,49.26667,-123.112414,14,4,10,TRUE,#N/A
0172 10th & Columbia,172,MP,49.262206,-123.109091,14,5,9,TRUE,#N/A
0173 1st & Columbia,173,MP,49.270218,-123.109189,16,11,5,TRUE,#N/A
0174 1st & Manitoba,174,MP,49.27023,-123.10651,32,17,15,TRUE,#N/A
0176 10th & Ontario,176,MP,49.262062,-123.104656,20,18,2,TRUE,#N/A
0177 Quebec & 1st,177,MP,49.27033,-123.10275,20,17,3,TRUE,#N/A
0179 11th & Kingsway,179,MP,49.261122,-123.097571,16,8,8,TRUE,#N/A
0180 Columbia & 14th,180,MP,49.258902,-123.109596,14,13,1,TRUE,#N/A
0187 Bute & Davie,187,WE,49.282224,-123.132778,20,16,4,TRUE,#N/A
0190 Melville & Bute,190,CBD,49.287782,-123.12395,14,4,10,TRUE,#N/A
0191 7th & Laurel,191,FAIR,49.265071,-123.123864,14,9,5,TRUE,#N/A
0192 7th &  Alder,192,FAIR,49.265198,-123.131043,16,8,7,TRUE,#N/A
0193 Science World,193,CBD,49.273691,-123.102232,16,7,9,TRUE,#N/A
0196 Drake & Hornby,196,CBD,49.277213,-123.129625,22,19,3,TRUE,#N/A
0197 1st & Scotia,197,STR,49.2685027,-123.0975014,20,16,4,TRUE,#N/A
0198 6th & Main,198,MP,49.265551,-123.100323,16,16,0,TRUE,#N/A
0199 Georgia & Main,199,CBD,49.278529,-123.100017,20,10,10,TRUE,#N/A
0201 Shaw Tower,201,CBD,49.288682,-123.11818,20,9,11,TRUE,#N/A
0202 14th & Oak,202,FAIR,49.258761,-123.127071,14,4,10,TRUE,#N/A
0203 Pine & 14th,203,FAIR,49.258864,-123.14353,12,9,3,TRUE,#N/A
0204 York & Yew,204,KITS,49.271741,-123.155421,20,20,0,TRUE,#N/A
0205 Pine & 10th,205,FAIR,49.262822,-123.14338,20,16,4,TRUE,#N/A
0206 8th & Scotia,206,MP,49.263635,-123.099236,12,4,8,TRUE,#N/A
0207 Alberni & Jervis,207,WE,49.28763,-123.127245,14,12,1,TRUE,#N/A
0208 Arbutus Greenway & Broadway,208,KITS,49.263649,-123.152421,20,20,0,TRUE,#N/A
0209 Stanley Park - Information Booth,209,#N/A,49.297933,-123.130758,20,16,4,TRUE,#N/A
0211 14th & Alder,211,FAIR,49.258819,-123.131317,14,14,0,TRUE,#N/A
0212 Union & Dunlevy,212,STR,49.277595,-123.09583,16,7,9,TRUE,#N/A
0213 Pender & Gore,213,STR,49.280284,-123.097052,14,5,9,TRUE,#N/A
0218 Carrall & Seawall,218,CBD,49.276294,-123.106534,18,13,5,TRUE,#N/A
0219 Hawks & Union,219,STR,49.277333,-123.087359,16,9,7,TRUE,#N/A
0221 Glen & Union,221,STR,49.277469,-123.081315,14,7,7,TRUE,#N/A
0222 Adanac & McLean,222,GW,49.277665,-123.073653,16,10,6,TRUE,#N/A
0223 Commercial & Adanac,223,GW,49.277436,-123.070427,16,10,6,TRUE,#N/A
0224 Pender & Commercial,224,GW,49.280332,-123.070068,16,11,5,TRUE,#N/A
0225 McLean & Pender,225,GW,49.280205,-123.074174,16,6,10,TRUE,#N/A
0227 Campbell & Hastings,227,STR,49.280852,-123.084746,14,8,6,TRUE,#N/A
0228 Keefer & Hawks,228,STR,49.279235,-123.087528,16,9,7,TRUE,#N/A
0229 Keefer & Princess,229,STR,49.279369,-123.091241,14,7,7,TRUE,#N/A
0230 Alexander & Railway,230,STR,49.283992,-123.091206,20,12,7,TRUE,#N/A
0231 Napier & Commercial,231,GW,49.274881,-123.069323,14,4,10,TRUE,#N/A
0232 Britannia Parking Lot,232,GW,49.275882,-123.071865,14,10,4,TRUE,#N/A
0233 Thornton & National,233,STR,49.273777,-123.092723,14,4,10,TRUE,#N/A
0234 Station & National,234,STR,49.274249,-123.098481,14,4,10,TRUE,#N/A
0235 Charles & Commercial,235,GW,49.273103,-123.069892,22,19,3,TRUE,#N/A
0236 Keith & 6th,236,MP,49.265005,-123.079481,28,20,8,TRUE,#N/A
0237 Glen & 6th,237,MP,49.265024,-123.08127,20,2,18,TRUE,#N/A
0238 Thornton & 1st,238,STR,49.267553,-123.094616,26,5,21,TRUE,#N/A
0239 Grant & Commercial,239,GW,49.271377,-123.069416,14,10,4,TRUE,#N/A
0240 2nd & Commercial,240,GW,49.268616,-123.069908,22,10,12,TRUE,#N/A
0241 4th & Commercial,241,GW,49.266969,-123.069936,14,7,7,TRUE,#N/A
0242 8th & Commercial,242,GW,49.263242,-123.070521,38,22,16,TRUE,#N/A
0244 10th & Commercial,244,KC,49.261403,-123.070102,26,24,1,TRUE,#N/A
0245 Woodland & 10th,245,KC,49.261263,-123.073707,14,8,6,TRUE,#N/A
0246 Glen & Broadway,246,MP,49.262242,-123.081459,18,9,8,TRUE,#N/A
0248 St George & Broadway,248,MP,49.262321,-123.09306,14,12,2,TRUE,#N/A
0249 7th & Woodland,249,GW,49.264251,-123.073853,12,5,6,TRUE,#N/A
0250 Woodland & 4th,250,GW,49.266751,-123.073501,14,10,4,TRUE,#N/A
0252 Woodland & Graveley,252,GW,49.270684,-123.073562,12,11,0,TRUE,#N/A
0253 Charles & Woodland,253,GW,49.2731,-123.0732,14,14,0,TRUE,#N/A
0254 Grandview Bike Lane & Commercial,254,GW,49.264083,-123.070611,42,38,4,TRUE,#N/A
0255 18th & Main,255,RP,49.254667,-123.101389,16,11,5,TRUE,#N/A
0256 Prince Edward & 16th,256,RP,49.256694,-123.096579,14,8,6,TRUE,#N/A
0257 Prince Edward & 14th,257,MP,49.258352,-123.096337,14,3,11,TRUE,#N/A
0258 13th & St George,258,MP,49.258817,-123.092797,16,15,1,TRUE,#N/A
0260 10th & Fraser,260,MP,49.26151,-123.089413,14,12,2,TRUE,#N/A
0261 8th & Fraser,261,MP,49.263382,-123.088837,16,12,4,TRUE,#N/A
0262 8th & Prince Edward,262,MP,49.263518,-123.09568,18,10,8,TRUE,#N/A
0265 St Catherines & 10th,265,MP,49.261353,-123.085333,12,6,6,TRUE,#N/A
0266 St Catherines & 7th,266,MP,49.264466,-123.085183,20,20,0,TRUE,#N/A
0272 Pender & Victoria,272,GW,49.280197,-123.065859,16,14,2,TRUE,#N/A
0273 Victoria & 4th,273,GW,49.266725,-123.065925,16,11,5,TRUE,#N/A
0274 Victoria & 10th,274,KC,49.261188,-123.066009,12,12,0,TRUE,#N/A
0278 15th & Victoria,278,KC,49.256857,-123.065646,18,7,11,TRUE,#N/A
0280 Triumph & Victoria,280,GW,49.283986,-123.065264,16,11,5,TRUE,#N/A
0281 Windsor & 14th,281,MP,49.257985,-123.083366,14,7,7,TRUE,#N/A
0282 14th & Fraser,282,MP,49.257939,-123.089531,16,16,0,TRUE,#N/A
0283 15th & Knight,283,KC,49.256496,-123.075426,14,12,2,TRUE,#N/A
0285 Commercial & Pandora,285,GW,49.283236,-123.070443,16,7,9,TRUE,#N/A
0287 Carolina & Great Northern Way,287,STR,49.267266,-123.090786,16,5,11,TRUE,#N/A
0297 6th & Prince Edward,297,MP,49.265242,-123.095577,16,5,11,TRUE,#N/A
0298 6th & Carolina,298,MP,49.265213,-123.090785,16,14,2,TRUE,#N/A
1000 Temporary Events Station,1000,0,,,10,9,1,FALSE,#N/A
